3.4401,2.5517
4.0855,2.9398
3.3447,3.4098
4.1998,3.4236
6.0857,2.1147
2.0026,3.3508
4.2288,5.465
2.9456,3.675
4.0893,3.0071
5.7926,3.9732
3.9326,4.8246
5.1768,3.7882
4.1423,3.6845
4.7642,3.8027
5.1338,5.4343
2.5573,3.2787
5.0181,3.6781
6.0651,2.9783
4.2801,3.7789
2.1118,2.9694
3.7073,2.6536
4.8345,3.5823
3.2296,4.1734
5.6379,4.5753
2.0882,3.721
4.0476,2.9859
2.802,5.0003
2.7318,4.8296
5.135,3.4185
4.0635,4.7236
4.5992,3.7481
5.0585,4.4651
5.1942,4.161
3.2953,5.2201
3.5458,3.457
4.8785,3.6622
4.1467,2.1702
4.5965,4.3925
5.219,3.1765
3.0956,3.458
3.895,4.1162
2.9669,3.7985
4.1211,2.311
2.815,4.8294
4.499,4.5895
3.1651,4.3664
4.5835,3.9485
4.45,2.0885
3.8757,4.9757
3.9767,4.3925
4.0297,3.3264
4.7747,3.4079
1.5182,3.2337
4.3174,3.8364
4.2916,2.4128
3.6683,3.7182
4.6255,5.3059
5.0897,3.6139
3.1866,1.8231
3.3772,4.653
3.3704,5.0304
4.1114,2.9119
3.0367,3.1388
4.2356,4.9166
4.2542,4.8966
3.9574,4.44
4.7843,6.3507
4.5754,3.1724
4.141,4.0724
3.6973,2.2718
4.7118,4.1273
3.7646,3.7039
1.8956,2.5211
3.7018,3.6691
1.8986,2.7965
3.5648,5.2728
4.5368,4.0672
3.42,5.4906
4.3882,5.1084
4.7141,4.6756
3.9775,4.7309
6.3218,2.3514
4.7046,4.6857
2.3587,3.9689
2.5601,4.0259
2.2791,4.0005
4.3975,3.8747
5.0515,5.0582
3.9589,3.8135
4.3477,5.2042
3.6181,1.4466
3.066,3.6352
4.5138,4.677
4.9331,4.4608
3.319,4.1126
5.82,4.0148
4.2325,5.4919
3.3087,0.26804
4.0623,5.3205
5.8048,4.9281
4.3315,2.5729
3.2048,3.9881
3.8491,3.1538
3.6358,3.3674
5.0717,5.1218
1.9116,3.6141
5.2893,6.2111
3.8122,4.4498
4.2566,2.8606
2.9711,3.9232
3.8608,5.0317
3.1205,4.2759
4.733,3.3665
3.6047,2.0746
4.4311,2.957
3.3563,3.9636
3.4809,2.3062
2.5648,4.304
4.2235,3.9176
4.8051,3.6536
5.3236,3.3236
3.5477,3.4434
3.4122,3.0675
3.073,3.3765
3.0831,5.293
1.3705,5.0835
2.8438,3.6633
5.0464,2.9053
4.2013,2.9931
4.628,3.7379
1.9251,4.4618
5.9535,3.4826
3.5513,5.0678
5.6623,5.2789
4.7819,3.5739
